EmployeeNumber,SSNValue,FirstName,LastName,DateOfBirth,HomeStreet1,HomeCity,HomeZip,HomeCountry,Organization.Code,Department.Code,Supervisor,Email,DepartmentDescription,LoginId,CostCenter,EmployeeGroup,PositionCode,PositionDescription
536341,SSN_14,FirstName_14,LastName_14,02.03.1958,Street_14,Randburg,4582,ZA,C1,21158942,Supervisor_14,user14@anonymous.com,DeptDescription_14,q5476583,CC_191161,indirect,1136743,Specialist: Logistics Process Planner
20014773,SSN_15,FirstName_15,LastName_15,11.05.1958,Street_15,Sandton,4811,ZA,C1,21148337,Supervisor_15,user15@anonymous.com,DeptDescription_15,q6707197,CC_719176,indirect,19000276,Specialist: End of Term
20002283,SSN_16,FirstName_16,LastName_16,11.05.1958,Street_16,Johannesburg,9279,ZA,C1,21145443,Supervisor_16,user16@anonymous.com,DeptDescription_16,q2871534,CC_542417,indirect,1334310,Corporate Sales Administrator
20007397,SSN_17,FirstName_17,LastName_17,30.08.1958,Street_17,Midrand,1434,ZA,C1,21158958,Supervisor_17,user17@anonymous.com,DeptDescription_17,q5924115,CC_133326,indirect,19000722,Administrator
20007397,SSN_18,FirstName_18,LastName_18,30.08.1958,Street_18,Sandton,4257,ZA,C1,21158958,Supervisor_18,user18@anonymous.com,DeptDescription_18,q8294150,CC_131244,direct,1136377,Contractor
678890,SSN_19,FirstName_19,LastName_19,08.09.1958,Street_19,Randburg,9928,ZA,A1,21158996,Supervisor_19,user19@anonymous.com,DeptDescription_19,q3653446,CC_198246,indirect,1137588,Contractor
678890,SSN_20,FirstName_20,LastName_20,08.09.1958,Street_20,Johannesburg,7873,ZA,C1,21158996,Supervisor_20,user20@anonymous.com,DeptDescription_20,q8612220,CC_329258,indirect,1137081,Customer Services
653493,SSN_21,FirstName_21,LastName_21,28.10.1958,Street_21,Midrand,4611,ZA,C1,21158975,Supervisor_21,user21@anonymous.com,DeptDescription_21,q1054447,CC_343962,indirect,1381933,Contractor
653493,SSN_22,FirstName_22,LastName_22,28.10.1958,Street_22,Randburg,8359,ZA,C1,21158975,Supervisor_22,user22@anonymous.com,DeptDescription_22,q5418934,CC_629903,direct,19003422,Contractor
584785,SSN_23,FirstName_23,LastName_23,04.11.1958,Street_23,Sandton,5557,ZA,C1,21163905,Supervisor_23,user23@anonymous.com,DeptDescription_23,q9398441,CC_731262,direct,1139470,Contractor
584785,SSN_24,FirstName_24,LastName_24,04.11.1958,Street_24,Johannesburg,1106,ZA,C1,21163905,Supervisor_24,user24@anonymous.com,DeptDescription_24,q3997281,CC_127824,direct,1138556,Contractor
662888,SSN_25,FirstName_25,LastName_25,12.01.1959,Street_25,Midrand,3615,ZA,C1,21138510,Supervisor_25,user25@anonymous.com,DeptDescription_25,q9517485,CC_688508,direct,1276210,Contractor
662001,SSN_26,FirstName_26,LastName_26,12.01.1959,Street_26,Sandton,7924,ZA,C1,21127663,Supervisor_26,user26@anonymous.com,DeptDescription_26,q2785277,CC_308496,direct,1138534,Contractor
20005859,SSN_27,FirstName_27,LastName_27,14.03.1959,Street_27,Randburg,6574,ZA,C1,21141868,Supervisor_27,user27@anonymous.com,DeptDescription_27,q6007072,CC_850800,indirect,1222790,"Head of, Corporate Planning"
20005853,SSN_28,FirstName_28,LastName_28,14.03.1959,Street_28,Johannesburg,5552,ZA,C1,21141864,Supervisor_28,user28@anonymous.com,DeptDescription_28,q9517169,CC_781453,direct,1137589,Contractor
20005849,SSN_29,FirstName_29,LastName_29,24.06.1959,Street_29,Midrand,3547,ZA,C1,21141867,Supervisor_29,user29@anonymous.com,DeptDescription_29,q4337174,CC_835392,direct,1140254,Contractor
636458,SSN_30,FirstName_30,LastName_30,24.06.1959,Street_30,Randburg,4527,ZA,C1,21127655,Supervisor_30,user30@anonymous.com,DeptDescription_30,q3564217,CC_671412,direct,1139230,Contractor
580714,SSN_31,FirstName_31,LastName_31,04.07.1959,Street_31,Johannesburg,6514,ZA,C1,21158960,Supervisor_31,user31@anonymous.com,DeptDescription_31,q7273233,CC_539898,indirect,1139229,Contractor
629218,SSN_32,FirstName_32,LastName_32,04.07.1959,Street_32,Sandton,2674,ZA,A1,21158985,Supervisor_32,user32@anonymous.com,DeptDescription_32,q3710343,CC_331148,indirect,1138535,Contractor
629218,SSN_33,FirstName_33,LastName_33,25.08.1959,Street_33,Randburg,2519,ZA,C1,21158985,Supervisor_33,user33@anonymous.com,DeptDescription_33,q9897858,CC_571029,indirect,1135119,Engineer (Technical)
536341,SSN_34,FirstName_34,LastName_34,25.08.1959,Street_34,Johannesburg,7224,ZA,C1,21158942,Supervisor_34,user34@anonymous.com,DeptDescription_34,q1009594,CC_717889,direct,1351226,Contractor
581014,SSN_35,FirstName_35,LastName_35,15.10.1959,Street_35,Midrand,2584,ZA,C1,21105699,Supervisor_35,user35@anonymous.com,DeptDescription_35,q6438436,CC_391704,direct,1140195,Contractor
580921,SSN_36,FirstName_36,LastName_36,15.10.1959,Street_36,Randburg,6881,ZA,C1,21105663,Supervisor_36,user36@anonymous.com,DeptDescription_36,q9197443,CC_948749,direct,1138407,Contractor
655729,SSN_37,FirstName_37,LastName_37,20.11.1959,Street_37,Johannesburg,6635,ZA,C1,21141868,Supervisor_37,user37@anonymous.com,DeptDescription_37,q1326765,CC_106814,direct,1138406,Contractor
582193,SSN_38,FirstName_38,LastName_38,20.11.1959,Street_38,Sandton,5333,ZA,C1,21158951,Supervisor_38,user38@anonymous.com,DeptDescription_38,q2876828,CC_895667,direct,1138558,Contractor
582193,SSN_39,FirstName_39,LastName_39,01.12.1959,Street_39,Randburg,1711,ZA,C1,21158951,Supervisor_39,user39@anonymous.com,DeptDescription_39,q7089806,CC_944962,direct,19003803,Contractor
678486,SSN_40,FirstName_40,LastName_40,01.12.1959,Street_40,Johannesburg,8527,ZA,C1,21105698,Supervisor_40,user40@anonymous.com,DeptDescription_40,q6159230,CC_267414,direct,1133791,Contractor
678566,SSN_41,FirstName_41,LastName_41,13.01.1960,Street_41,Midrand,9785,ZA,C1,21141864,Supervisor_41,user41@anonymous.com,DeptDescription_41,q5017343,CC_832052,direct,1138536,Contractor
678566,SSN_42,FirstName_42,LastName_42,13.01.1960,Street_42,Randburg,3045,ZA,EB,21141864,Supervisor_42,user42@anonymous.com,DeptDescription_42,q1971823,CC_543143,direct,1136626,Artisan
685557,SSN_43,FirstName_43,LastName_43,08.02.1960,Street_43,Sandton,7201,ZA,C1,21105663,Supervisor_43,user43@anonymous.com,DeptDescription_43,q5041154,CC_456778,indirect,19003370,Associate
583147,SSN_44,FirstName_44,LastName_44,08.02.1960,Street_44,Johannesburg,2291,ZA,C1,21138509,Supervisor_44,user44@anonymous.com,DeptDescription_44,q2321324,CC_391369,direct,1187491,Snr Artisan
556068,SSN_45,FirstName_45,LastName_45,20.02.1960,Street_45,Midrand,5803,ZA,C1,21158945,Supervisor_45,user45@anonymous.com,DeptDescription_45,q2437026,CC_263032,direct,19002047,Associate
556253,SSN_46,FirstName_46,LastName_46,20.02.1960,Street_46,Sandton,6925,ZA,C1,21158963,Supervisor_46,user46@anonymous.com,DeptDescription_46,q9153566,CC_325772,indirect,19002041,Associate
556068,SSN_47,FirstName_47,LastName_47,20.02.1960,Street_47,Randburg,4150,ZA,C1,21158945,Supervisor_47,user47@anonymous.com,DeptDescription_47,q2161193,CC_900581,direct,1142088,Contractor
556253,SSN_48,FirstName_48,LastName_48,20.02.1960,Street_48,Johannesburg,2139,ZA,C1,21158963,Supervisor_48,user48@anonymous.com,DeptDescription_48,q9937326,CC_452944,indirect,19002048,Associate
627372,SSN_49,FirstName_49,LastName_49,02.04.1960,Street_49,Midrand,1750,ZA,C1,21141862,Supervisor_49,user49@anonymous.com,DeptDescription_49,q3109911,CC_207175,direct,19002054,Associate
584304,SSN_50,FirstName_50,LastName_50,02.04.1960,Street_50,Randburg,4733,ZA,C1,21141866,Supervisor_50,user50@anonymous.com,DeptDescription_50,q3154051,CC_197251,indirect,19002042,Associate
505581,SSN_51,FirstName_51,LastName_51,18.05.1960,Street_51,Sandton,5741,ZA,C1,21158990,Supervisor_51,user51@anonymous.com,DeptDescription_51,q8973915,CC_498382,direct,19002063,Associate
515335,SSN_52,FirstName_52,LastName_52,18.05.1960,Street_52,Johannesburg,2307,ZA,C1,21141867,Supervisor_52,user52@anonymous.com,DeptDescription_52,q3770370,CC_201414,indirect,19002020,Associate
20018724,SSN_53,FirstName_53,LastName_53,01.09.1960,Street_53,Midrand,4814,ZA,C1,21158993,Supervisor_53,user53@anonymous.com,DeptDescription_53,q5446912,CC_476417,indirect,19002044,Associate
20018724,SSN_54,FirstName_54,LastName_54,01.09.1960,Street_54,Sandton,2654,ZA,C1,21158993,Supervisor_54,user54@anonymous.com,DeptDescription_54,q9852897,CC_988662,indirect,19002039,Associate
684012,SSN_55,FirstName_55,LastName_55,30.12.1960,Street_55,Randburg,7227,ZA,C1,21105667,Supervisor_55,user55@anonymous.com,DeptDescription_55,q8099076,CC_460663,direct,1139468,Associate
638533,SSN_56,FirstName_56,LastName_56,30.12.1960,Street_56,Johannesburg,5554,ZA,C1,21158970,Supervisor_56,user56@anonymous.com,DeptDescription_56,q4553384,CC_733052,direct,1142233,Associate
638533,SSN_57,FirstName_57,LastName_57,01.01.1961,Street_57,Midrand,8428,ZA,C1,21158970,Supervisor_57,user57@anonymous.com,DeptDescription_57,q4374754,CC_377370,indirect,1133731,Process Supporter
20012237,SSN_58,FirstName_58,LastName_58,01.01.1961,Street_58,Randburg,6977,ZA,C1,21158994,Supervisor_58,user58@anonymous.com,DeptDescription_58,q6229731,CC_946335,indirect,19002006,Associate
20012237,SSN_59,FirstName_59,LastName_59,09.02.1961,Street_59,Sandton,3664,ZA,C1,21158994,Supervisor_59,user59@anonymous.com,DeptDescription_59,q7693979,CC_145561,indirect,1141081,Contractor
20016042,SSN_60,FirstName_60,LastName_60,09.02.1961,Street_60,Johannesburg,7065,ZA,C1,21162934,Supervisor_60,user60@anonymous.com,DeptDescription_60,q7264956,CC_865179,indirect,1381276,"Del Manager: Fin. PlanningCons., Rep."
515306,SSN_61,FirstName_61,LastName_61,19.02.1961,Street_61,Midrand,6820,ZA,C1,21141868,Supervisor_61,user61@anonymous.com,DeptDescription_61,q8350099,CC_581741,indirect,19000686,Specialist: Technical Services
515760,SSN_62,FirstName_62,LastName_62,19.02.1961,Street_62,Sandton,4432,ZA,C1,21105699,Supervisor_62,user62@anonymous.com,DeptDescription_62,q9683481,CC_662275,indirect,1188973,Specialist: Robot Engineer
581168,SSN_63,FirstName_63,LastName_63,12.04.1961,Street_63,Randburg,5374,ZA,C1,21141868,Supervisor_63,user63@anonymous.com,DeptDescription_63,q8574680,CC_230889,indirect,19000429,Specialist: Quality Management
580583,SSN_64,FirstName_64,LastName_64,12.04.1961,Street_64,Johannesburg,2169,ZA,C1,21105687,Supervisor_64,user64@anonymous.com,DeptDescription_64,q3030113,CC_496922,indirect,1192667,System Analyst
580639,SSN_65,FirstName_65,LastName_65,21.04.1961,Street_65,Midrand,3803,ZA,C1,21141868,Supervisor_65,user65@anonymous.com,DeptDescription_65,q5159166,CC_182627,direct,19000613,"Spec., Retail & Operations"
582597,SSN_66,FirstName_66,LastName_66,21.04.1961,Street_66,Randburg,9751,ZA,C1,21105689,Supervisor_66,user66@anonymous.com,DeptDescription_66,q4769795,CC_678856,indirect,1143198,Contractor
583415,SSN_67,FirstName_67,LastName_67,29.04.1961,Street_67,Johannesburg,5010,ZA,C1,21105665,Supervisor_67,user67@anonymous.com,DeptDescription_67,q2074176,CC_407419,direct,1142727,"Spec., Panel Beater"
534769,SSN_68,FirstName_68,LastName_68,29.04.1961,Street_68,Sandton,3677,ZA,C1,21158991,Supervisor_68,user68@anonymous.com,DeptDescription_68,q6672134,CC_969693,indirect,1142761,"Spec., Dealer Liaison"
534769,SSN_69,FirstName_69,LastName_69,04.06.1961,Street_69,Randburg,8573,ZA,C1,21158991,Supervisor_69,user69@anonymous.com,DeptDescription_69,q1352896,CC_759176,direct,1137380,Associate
511264,SSN_70,FirstName_70,LastName_70,04.06.1961,Street_70,Johannesburg,7216,ZA,C1,21158953,Supervisor_70,user70@anonymous.com,DeptDescription_70,q4860684,CC_748564,direct,1161361,Contractor
511264,SSN_71,FirstName_71,LastName_71,30.06.1961,Street_71,Midrand,5422,ZA,C1,21158953,Supervisor_71,user71@anonymous.com,DeptDescription_71,q4694634,CC_479201,direct,1141645,Contractor
20016042,SSN_72,FirstName_72,LastName_72,30.06.1961,Street_72,Randburg,4598,ZA,C1,21162934,Supervisor_72,user72@anonymous.com,DeptDescription_72,q1120642,CC_705397,indirect,19003627,Contractor
675439,SSN_73,FirstName_73,LastName_73,17.07.1961,Street_73,Johannesburg,6313,ZA,C1,21105690,Supervisor_73,user73@anonymous.com,DeptDescription_73,q2191066,CC_301629,direct,1144479,Contractor
678416,SSN_74,FirstName_74,LastName_74,17.07.1961,Street_74,Sandton,1916,ZA,C1,21138511,Supervisor_74,user74@anonymous.com,DeptDescription_74,q1987737,CC_838797,indirect,1138064,Specialist: Sales & Marketing - Pub Sec
678416,SSN_75,FirstName_75,LastName_75,30.07.1961,Street_75,Randburg,4752,ZA,EB,21138511,Supervisor_75,user75@anonymous.com,DeptDescription_75,q4841005,CC_172933,indirect,1156885,Del Mngr:Stock and Workflow Management
660671,SSN_76,FirstName_76,LastName_76,30.07.1961,Street_76,Johannesburg,1525,ZA,C1,21130503,Supervisor_76,user76@anonymous.com,DeptDescription_76,q2130789,CC_148050,direct,19000248,Specialist: Finance
660671,SSN_77,FirstName_77,LastName_77,11.08.1961,Street_77,Midrand,6168,ZA,C1,21130503,Supervisor_77,user77@anonymous.com,DeptDescription_77,q1527021,CC_793384,direct,1141649,Contractor
661325,SSN_78,FirstName_78,LastName_78,11.08.1961,Street_78,Randburg,7572,ZA,C1,21130503,Supervisor_78,user78@anonymous.com,DeptDescription_78,q6543670,CC_338968,direct,1139472,Contractor
605804,SSN_79,FirstName_79,LastName_79,23.08.1961,Street_79,Sandton,5386,ZA,C1,21148337,Supervisor_79,user79@anonymous.com,DeptDescription_79,q2188789,CC_910620,indirect,1165532,Contractor
20014560,SSN_80,FirstName_80,LastName_80,23.08.1961,Street_80,Johannesburg,2084,ZA,C1,21158932,Supervisor_80,user80@anonymous.com,DeptDescription_80,q9626108,CC_403445,direct,1145101,Logistics Structure Planner
20014560,SSN_81,FirstName_81,LastName_81,14.09.1961,Street_81,Midrand,4456,ZA,C1,21158932,Supervisor_81,user81@anonymous.com,DeptDescription_81,q4993055,CC_183667,direct,1135342,Contractor
661325,SSN_82,FirstName_82,LastName_82,14.09.1961,Street_82,Sandton,6155,ZA,C1,21130503,Supervisor_82,user82@anonymous.com,DeptDescription_82,q5672073,CC_996865,indirect,19000256,Specialist: Communications - Plant
20010927,SSN_83,FirstName_83,LastName_83,11.11.1961,Street_83,Randburg,4483,ZA,C1,21158958,Supervisor_83,user83@anonymous.com,DeptDescription_83,q9143903,CC_344098,indirect,1150329,Contractor
20010927,SSN_84,FirstName_84,LastName_84,11.11.1961,Street_84,Johannesburg,9179,ZA,C1,21158958,Supervisor_84,user84@anonymous.com,DeptDescription_84,q4594297,CC_205907,indirect,1147238,Contractor
582592,SSN_85,FirstName_85,LastName_85,17.11.1961,Street_85,Midrand,7482,ZA,C1,21105689,Supervisor_85,user85@anonymous.com,DeptDescription_85,q3219824,CC_498591,direct,1400259,Contractor
20002237,SSN_86,FirstName_86,LastName_86,17.11.1961,Street_86,Randburg,8517,ZA,C1,21129295,Supervisor_86,user86@anonymous.com,DeptDescription_86,q8930103,CC_391476,direct,1136740,Systems Analyst
20002237,SSN_87,FirstName_87,LastName_87,25.11.1961,Street_87,Sandton,3340,ZA,C1,21129295,Supervisor_87,user87@anonymous.com,DeptDescription_87,q5076817,CC_575435,indirect,19000295,Specialist: Process Planner             
583518,SSN_88,FirstName_88,LastName_88,07.12.1961,Street_88,Johannesburg,5339,ZA,C1,21159534,Supervisor_88,user88@anonymous.com,DeptDescription_88,q8935169,CC_766563,direct,19000413,Specialist: Products - Product Marketing
521853,SSN_89,FirstName_89,LastName_89,07.12.1961,Street_89,Midrand,3287,ZA,C1,21138511,Supervisor_89,user89@anonymous.com,DeptDescription_89,q7829332,CC_974628,direct,19001849,Associate
678404,SSN_90,FirstName_90,LastName_90,10.01.1962,Street_90,Sandton,5040,ZA,C1,21105699,Supervisor_90,user90@anonymous.com,DeptDescription_90,q4194548,CC_482554,indirect,19000313,Specialist: Engineer E/E                
678404,SSN_91,FirstName_91,LastName_91,10.01.1962,Street_91,Randburg,9830,ZA,EB,21105699,Supervisor_91,user91@anonymous.com,DeptDescription_91,q2582524,CC_270555,indirect,1139380,Maintenance Planner
582145,SSN_92,FirstName_92,LastName_92,26.01.1962,Street_92,Johannesburg,5304,ZA,C1,21130503,Supervisor_92,user92@anonymous.com,DeptDescription_92,q2626229,CC_488162,indirect,1160145,Specialist: Production Engineer
582926,SSN_93,FirstName_93,LastName_93,26.01.1962,Street_93,Midrand,8019,ZA,C1,21126160,Supervisor_93,user93@anonymous.com,DeptDescription_93,q8231838,CC_472528,indirect,1149053,Contractor
515734,SSN_94,FirstName_94,LastName_94,28.01.1962,Street_94,Randburg,7543,ZA,C1,21105699,Supervisor_94,user94@anonymous.com,DeptDescription_94,q6944126,CC_319684,indirect,1148525,"Spec., Parts (Logistics Plan.)"
20019721,SSN_95,FirstName_95,LastName_95,28.01.1962,Street_95,Sandton,6930,ZA,C1,21141859,Supervisor_95,user95@anonymous.com,DeptDescription_95,q8106470,CC_802729,direct,1149054,Contractor
657791,SSN_96,FirstName_96,LastName_96,24.03.1962,Street_96,Johannesburg,4593,ZA,C1,21130503,Supervisor_96,user96@anonymous.com,DeptDescription_96,q7897151,CC_379946,indirect,1165242,Contractor
682955,SSN_97,FirstName_97,LastName_97,24.03.1962,Street_97,Midrand,3266,ZA,C1,21138510,Supervisor_97,user97@anonymous.com,DeptDescription_97,q8835373,CC_835911,direct,1381277,"GM: Sales Parts Logistics,SF,CBS Markets"
505581,SSN_98,FirstName_98,LastName_98,10.04.1962,Street_98,Sandton,9348,ZA,C1,21158990,Supervisor_98,user98@anonymous.com,DeptDescription_98,q1908841,CC_816751,indirect,19000734,Creditors
423949,SSN_99,FirstName_99,LastName_99,10.04.1962,Street_99,Randburg,9085,ZA,C1,21158947,Supervisor_99,user99@anonymous.com,DeptDescription_99,q2651177,CC_779514,indirect,1160030,Contractor
423949,SSN_100,FirstName_100,LastName_100,28.04.1962,Street_1,Johannesburg,2489,ZA,C1,21158947,Supervisor_100,user100@anonymous.com,DeptDescription_1,q2016911,CC_174870,direct,1151308,Contractor
423381,SSN_101,FirstName_101,LastName_101,28.04.1962,Street_2,Midrand,2824,ZA,C1,21158959,Supervisor_101,user101@anonymous.com,DeptDescription_2,q7754864,CC_770487,direct,1151302,Contractor
455566,SSN_102,FirstName_102,LastName_102,01.05.1962,Street_3,Randburg,1409,ZA,C1,21122580,Supervisor_102,user102@anonymous.com,DeptDescription_3,q6692553,CC_216739,indirect,19003123,Associate
424078,SSN_103,FirstName_103,LastName_103,18.05.1962,Street_4,Johannesburg,5506,ZA,C1,21105665,Supervisor_103,user103@anonymous.com,DeptDescription_4,q2833230,CC_126225,direct,1135766,Contractor
663484,SSN_104,FirstName_104,LastName_104,18.05.1962,Street_5,Sandton,5012,ZA,C1,21158932,Supervisor_104,user104@anonymous.com,DeptDescription_5,q5171761,CC_877572,indirect,1148580,Contractor
663484,SSN_105,FirstName_105,LastName_105,20.07.1962,Street_6,Randburg,4657,ZA,C1,21158932,Supervisor_105,user105@anonymous.com,DeptDescription_6,q4214348,CC_388389,direct,1364176,Outbound
666540,SSN_106,FirstName_106,LastName_106,20.07.1962,Street_7,Johannesburg,3286,ZA,C1,21158934,Supervisor_106,user106@anonymous.com,DeptDescription_7,q4191175,CC_356787,direct,1151304,Contractor
666540,SSN_107,FirstName_107,LastName_107,27.09.1962,Street_8,Midrand,2679,ZA,C1,21158934,Supervisor_107,user107@anonymous.com,DeptDescription_8,q9997381,CC_334053,indirect,19000052,Manager: Alphera Sales
674706,SSN_108,FirstName_108,LastName_108,27.09.1962,Street_9,Randburg,9935,ZA,C1,21105690,Supervisor_108,user108@anonymous.com,DeptDescription_9,q8526486,CC_246316,indirect,1151306,Contractor
682722,SSN_109,FirstName_109,LastName_109,03.11.1962,Street_10,Johannesburg,2424,ZA,C1,21138510,Supervisor_109,user109@anonymous.com,DeptDescription_10,q3351868,CC_872246,indirect,1218846,Contractor
682723,SSN_110,FirstName_110,LastName_110,03.11.1962,Street_11,Sandton,7912,ZA,C1,21141867,Supervisor_110,user110@anonymous.com,DeptDescription_11,q8077999,CC_207473,indirect,19002792,Associate
514781,SSN_111,FirstName_111,LastName_111,08.11.1962,Street_12,Randburg,1520,ZA,C1,21105666,Supervisor_111,user111@anonymous.com,DeptDescription_12,q4078418,CC_809570,direct,1257008,Contractor
456502,SSN_112,FirstName_112,LastName_112,08.11.1962,Street_13,Johannesburg,1488,ZA,C1,21163901,Supervisor_112,user112@anonymous.com,DeptDescription_13,q5673212,CC_876646,direct,1397688,"Adv. Spec., HR Audit and Reporting"
456502,SSN_113,FirstName_113,LastName_113,30.11.1962,Street_14,Midrand,2535,ZA,C1,21163901,Supervisor_113,user113@anonymous.com,DeptDescription_14,q8761611,CC_671858,indirect,1139706,Contractor
462137,SSN_114,FirstName_114,LastName_114,30.11.1962,Street_15,Randburg,4582,ZA,C1,21158961,Supervisor_114,user114@anonymous.com,DeptDescription_15,q5191056,CC_191161,direct,1151052,Contractor
672671,SSN_115,FirstName_115,LastName_115,15.12.1962,Street_16,Sandton,4811,ZA,C1,21162933,Supervisor_115,user115@anonymous.com,DeptDescription_16,q2264748,CC_719176,indirect,1153605,Contractor
672671,SSN_116,FirstName_116,LastName_116,15.12.1962,Street_17,Johannesburg,9279,ZA,C1,21162933,Supervisor_116,user116@anonymous.com,DeptDescription_17,q8434500,CC_542417,direct,1153680,Contractor
465981,SSN_117,FirstName_117,LastName_117,30.01.1963,Street_18,Midrand,1434,ZA,C1,21159001,Supervisor_117,user117@anonymous.com,DeptDescription_18,q2642635,CC_133326,indirect,1153927,Contractor
465981,SSN_118,FirstName_118,LastName_118,14.02.1963,Street_19,Sandton,4257,ZA,C1,21159001,Supervisor_118,user118@anonymous.com,DeptDescription_19,q1848731,CC_131244,direct,1305248,"Spec., Retail & Operations"
583625,SSN_119,FirstName_119,LastName_119,18.02.1963,Street_20,Randburg,9928,ZA,C1,21138510,Supervisor_119,user119@anonymous.com,DeptDescription_20,q1247595,CC_198246,indirect,1165239,Process Supporter
581435,SSN_120,FirstName_120,LastName_120,18.02.1963,Street_21,Johannesburg,7873,ZA,C1,21138510,Supervisor_120,user120@anonymous.com,DeptDescription_21,q2564689,CC_329258,indirect,19001641,Associate
581521,SSN_121,FirstName_121,LastName_121,23.02.1963,Street_22,Midrand,4611,ZA,C1,21105661,Supervisor_121,user121@anonymous.com,DeptDescription_22,q4965789,CC_343962,direct,19002940,Associate
581521,SSN_122,FirstName_122,LastName_122,27.02.1963,Street_23,Randburg,8359,ZA,C1,21105661,Supervisor_122,user122@anonymous.com,DeptDescription_23,q3790237,CC_629903,direct,19002500,Associate
581421,SSN_123,FirstName_123,LastName_123,27.02.1963,Street_24,Sandton,5557,ZA,C1,21158941,Supervisor_123,user123@anonymous.com,DeptDescription_24,q7818496,CC_731262,direct,1153601,Contractor
685019,SSN_124,FirstName_124,LastName_124,25.03.1963,Street_25,Johannesburg,1106,ZA,C1,21158959,Supervisor_124,user124@anonymous.com,DeptDescription_25,q9147706,CC_127824,direct,1235282,"GM: Logistics, Shopfloor, OtD Platform"
672332,SSN_125,FirstName_125,LastName_125,25.03.1963,Street_26,Midrand,3615,ZA,C1,21141868,Supervisor_125,user125@anonymous.com,DeptDescription_26,q9075854,CC_688508,direct,1153603,Contractor
523424,SSN_126,FirstName_126,LastName_126,29.03.1963,Street_27,Sandton,7924,ZA,C1,21158940,Supervisor_126,user126@anonymous.com,DeptDescription_27,q4586084,CC_308496,direct,19000823,Process Technician
523424,SSN_127,FirstName_127,LastName_127,29.03.1963,Street_28,Randburg,6574,ZA,C1,21158940,Supervisor_127,user127@anonymous.com,DeptDescription_28,q7728339,CC_850800,indirect,1149102,Specialist: Systems & Processes
515550,SSN_128,FirstName_128,LastName_128,29.03.1963,Street_29,Johannesburg,5552,ZA,C1,21105699,Supervisor_128,user128@anonymous.com,DeptDescription_29,q1983738,CC_781453,indirect,19003221,Associate
